#heuristic2.csv
#
#
#
group,number,graphname,n_vertices,n_edges,duration,studentDfvsLen,studentDfvs,goodDfvsLen
h2,58992,cyc_0100-03.txt,100,315,300,0,,0
h2,58993,cyc_0100-03.txt,100,315,200,0,,0
h2,58994,cyc_0100-03.txt,100,315,300,0,,0
h2,58995,cyc_0100-03.txt,100,315,400,0,,0
h2,58996,cyc_0100-03.txt,100,315,200,0,,0
h2,58997,cyc_0100-03.txt,100,315,200,0,,0
h2,58998,cyc_0100-03.txt,100,315,300,0,,0
h2,58999,cyc_0100-03.txt,100,315,200,0,,0
h2,59000,cyc_0100-03.txt,100,315,200,0,,0
h2,59001,cyc_0100-03.txt,100,315,300,0,,0
h2,59002,cyc_0100-03.txt,100,315,300,0,,0
h2,59003,cyc_0100-03.txt,100,315,300,0,,0
h2,59004,cyc_0100-03.txt,100,315,300,0,,0
h2,59005,cyc_0100-03.txt,100,315,200,0,,0
h2,59006,cyc_0100-03.txt,100,315,200,0,,0
h2,59007,cyc_0100-03.txt,100,315,300,0,,0
h2,59008,cyc_0100-03.txt,100,315,200,0,,0
h2,59009,cyc_0100-03.txt,100,315,500,0,,0
h2,59010,cyc_0100-03.txt,100,315,400,0,,0
h2,59011,cyc_0100-03.txt,100,315,300,0,,0
h2,59012,cyc_0100-03.txt,100,315,300,0,,0
h2,59013,cyc_0100-03.txt,100,315,300,0,,0
h2,59014,cyc_0100-03.txt,100,315,200,0,,0
h2,59015,cyc_0100-03.txt,100,315,300,0,,0
h2,59016,cyc_0100-03.txt,100,315,300,0,,0
h2,59017,cyc_0100-03.txt,100,315,200,0,,0
h2,59018,cyc_0100-03.txt,100,315,300,0,,0
h2,59019,cyc_0100-03.txt,100,315,200,0,,0
